idx,transcript,true_keywords,num_true,best_true_rank,worst_true_rank,recall_at_1,recall_at_3,recall_at_6,recall_at_12,cb_pool_recall,prompt_recall,rescore_recall,cb_pool_size,prompt_size,rescore_size,top12_keywords,prompt_keywords,rescore_keywords
0,国务院发展研究中心市场经济研究所副所长邓郁松认为,邓郁松,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,2,5,邓郁松|钟欣|吴雯|董某|邬雄|张春雨|渝蓉|渝武|瓯文|彼得|大禹村|王靖苏,邓郁松|钟欣,邓郁松|钟欣|吴雯|董某|重庆
1,本报记者王颖春国家发改委近日发出通知,王颖春,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,王颖春|吴雯|王婷|陈国强|黄榕|瓯文|董某|彼得|平阳|渝武|广安|李家,王颖春,王颖春|吴雯|陈国强|瓯文
2,新京报讯记者钟晶晶发改委昨日表示,新京报,1,2,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,金报讯|新京报|彼得|重庆|荆州|吴雯|瓯文|金陵晚报|董某|今久|朱某|金坛,金报讯|新京报,金报讯|新京报|彼得|瓯文
3,此次以一百六十七亿美元收购拓朗,拓朗,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,拓朗|马云|修哥|彼得|吴雯|渝武|瓯文|郎平|平阳|董某|南粤|玮甯,拓朗|马云,拓朗|马云|渝武|郎平
4,拓朗的主打产品是现场可编程门阵列芯片,拓朗,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2,4,拓朗|常平|吴雯|彼得|董某|吉娜|渝武|瓯文|黄榕|朱某|平阳|名古屋,拓朗|常平,拓朗|常平|董某|渝武
5,英特尔首席执行官布赖恩克尔扎尼奇在一份声明中说,布赖恩克尔扎尼奇,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1,6,布赖恩克尔扎尼奇|张林|吴雯|瓯文|哈立|董某|渝武|皮特|邦德|肯德尔|哈灵|彼得,布赖恩克尔扎尼奇,布赖恩克尔扎尼奇|张林|吴雯|瓯文|董某|皮特
6,合并拓朗之后将推出新的产品,拓朗,1,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1,4,常平|彼得|吉娜|吴雯|哈灵|瓯文|拓朗|董某|渝武|奇冰|黄榕|平阳,常平,常平|彼得|瓯文|董某
7,高德纳咨询公司分析师马克黄说,马克黄,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,5,马克黄|玛卡|董某|马特里亚斯|黄榕|邦德|克里斯蒂娜斯|吴雯|瓯文|纳斯达克|皮特|彼得,马克黄,马克黄|玛卡|克里斯蒂娜斯|吴雯|瓯文
8,中国游戏公司纷纷忙着退市,中国游戏公司,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,中国游戏公司|吴雯|瓯文|渝武|麦德公司|彼得|董某|广安|敦煌|黄榕|平阳|玮甯,中国游戏公司,中国游戏公司|吴雯|瓯文|麦德公司
9,巨人网络盛大游戏以及完美世界均已选择了私有化,盛大游戏,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,1,4,盛大游戏|黄榕|渝武|权义|董某|吴雯|广安|瓯文|彼得|王晔君|朱某|孙大圣,盛大游戏,盛大游戏|黄榕|渝武|权义
