idx,id,category,mention,ref,base,pred,base_has,nbest6_has,nbest10_has,context_rank,prompt_rank,kws_rank,kws_score,base_d,pred_d,nbest_top6
6,6,covo_failed_with_nbest6,拓朗,合并拓朗之后将推出新的产品,合并特朗之后将推出新的产品,合并特朗之后将推出新的产品,False,True,True,1,1,1,0.930995,1,1,合并特朗之后将推出新的产品 || 和并特朗之后将推出新的产品 || 合并特朗之后将推出新产品 || 合并拓朗之后将推出新的产品 || 和并拓朗之后将推出新的产品。 || 和病特朗之后将推出新的产品
16,16,covo_failed_with_nbest6,姊弟恋,对于姊弟恋也不排斥,對於死地戀也不排斥,对于死地恋也不排斥,False,True,True,1,1,1,0.990483,5,2,對於死地戀也不排斥 || 对于姊弟恋也不排斥 || 對於死地裂也不排斥 || 對於此地戀也不排斥 || 對於史蒂戀也不排斥 || 對於死的戀也不排斥
18,18,candidate_generation_missing,玮甯,阮经天和许玮甯交往八年屡传婚讯,阮经天和许玮宁交往八年旅船婚训,阮经天和许玮宁交往八年屡传婚讯,False,False,False,2,,2,0.605143,4,1,阮经天和许玮宁交往八年旅船婚训 || 阮晶天和徐伟宁交往八年旅船婚训 || 阮晶天和徐伟宁交往八年旅船婚讯 || 阮京天和徐伟宁交往八年旅船婚讯 || 阮晶天和徐伟宁交往8年旅船婚讯 || 阮京天和徐伟宁交往八年旅船婚训
18,18,candidate_generation_missing,许玮甯,阮经天和许玮甯交往八年屡传婚讯,阮经天和许玮宁交往八年旅船婚训,阮经天和许玮宁交往八年屡传婚讯,False,False,False,1,1,1,0.986253,4,1,阮经天和许玮宁交往八年旅船婚训 || 阮晶天和徐伟宁交往八年旅船婚训 || 阮晶天和徐伟宁交往八年旅船婚讯 || 阮京天和徐伟宁交往八年旅船婚讯 || 阮晶天和徐伟宁交往8年旅船婚讯 || 阮京天和徐伟宁交往八年旅船婚训
19,19,candidate_generation_missing,玮甯,但小天坚持玮甯依然是我的女人,但小天坚持韦宁依然是我的女人,但小天坚持韦宁依然是我的女人,False,False,False,1,1,1,0.757383,2,2,但小天坚持韦宁依然是我的女人 || 但小天坚持维宁依然是我的女人 || 但小天坚持伟宁依然是我的女人 || 但小天坚持为宁依然是我的女人 || 但小天坚持委宁依然是我的女人 || 大小天坚持韦宁依然是我的女人
24,24,kws_context_missing,朱圣祎,朱圣祎爆王思聪女朋友被诉法官送达起诉书遇阻,朱胜伟曝王思聪女友被诉法官宋达起诉书,朱胜伟曝王思聪女友被诉法官送达起诉书欲诉,False,False,False,,,,,7,6,朱胜伟曝王思聪女友被诉法官宋达起诉书 || 朱胜伟曝王思聪女友被诉法官宋达起诉书欲诉 || 朱胜伟报王思聪女友被诉法官宋达起诉书 || 朱胜伟曝王思聪女友被诉法官宋达起诉输 || 朱胜伟报王思聪女友被诉法官宋达起诉书欲诉 || 朱胜伟曝王思聪女友被诉法官宋达起诉输欲诉
36,36,covo_lost_base_hotword,宋芳,这是因为宋芳购买其房产,這是因為宋芳購買其房產,这是因为颂芳购买其房产,True,True,True,1,1,1,0.994424,5,1,這是因為宋芳購買其房產 || 這是因為宋芳購買其房廠 || 這是因為宋芳購買其房子 || 這是因為頌芳購買其房產 || 這是因為送芳購買其房產 || 這是因為孫芳購買其房產
37,37,covo_lost_base_hotword,今久,今久整合营销集团迎来了它的生日,今久整合营销集团迎来了他的生日,金九整合营销集团迎来了它的生日,True,True,True,2,2,2,0.961382,1,2,今久整合营销集团迎来了他的生日 || 今久整合营销集团迎来了她的生日 || 今久整合营销集团迎来了它的生日 || 今久整合营销集团迎来了祂的生日。 || 金九整合营销集团迎来了他的生日 || 金酒整合营销集团迎来了他的生日
37,37,covo_lost_base_hotword,今久整合营销集团,今久整合营销集团迎来了它的生日,今久整合营销集团迎来了他的生日,金九整合营销集团迎来了它的生日,True,True,True,1,1,1,1.000000,1,2,今久整合营销集团迎来了他的生日 || 今久整合营销集团迎来了她的生日 || 今久整合营销集团迎来了它的生日 || 今久整合营销集团迎来了祂的生日。 || 金九整合营销集团迎来了他的生日 || 金酒整合营销集团迎来了他的生日
55,55,candidate_generation_missing,玮甯,刚与阮经天传出情变不久的许玮甯近日接拍恐怖片,刚于阮青天传出《情变不久》的许玮宁近日接拍恐怖片。,刚于阮青天传出情变不久的许玮宁近日接拍恐怖片,False,False,False,2,,2,0.778587,3,3,刚于阮青天传出《情变不久》的许玮宁近日接拍恐怖片。 || 刚于阮青天传出《情变不久》的许玮宁近日街拍恐怖片。 || 刚于阮青天传出情变不久的徐伟宁近日街拍恐怖片 || 刚于阮青天传出《情变不久》的徐伟宁近日接拍恐怖片。 || 刚于阮青天传出秦遍不久的徐伟宁近日接拍恐怖片 || 刚于阮青天传出《情变不久》的许伟宁近日接拍恐怖片。
55,55,candidate_generation_missing,许玮甯,刚与阮经天传出情变不久的许玮甯近日接拍恐怖片,刚于阮青天传出《情变不久》的许玮宁近日接拍恐怖片。,刚于阮青天传出情变不久的许玮宁近日接拍恐怖片,False,False,False,1,1,1,0.994147,3,3,刚于阮青天传出《情变不久》的许玮宁近日接拍恐怖片。 || 刚于阮青天传出《情变不久》的许玮宁近日街拍恐怖片。 || 刚于阮青天传出情变不久的徐伟宁近日街拍恐怖片 || 刚于阮青天传出《情变不久》的徐伟宁近日接拍恐怖片。 || 刚于阮青天传出秦遍不久的徐伟宁近日接拍恐怖片 || 刚于阮青天传出《情变不久》的许伟宁近日接拍恐怖片。
66,66,covo_lost_base_hotword,杨锋,视频截图新京报快讯记者杨锋昨日,视频截图新京报快讯记者杨锋昨日,视频截图新京报快讯记者杨峰昨日,True,True,True,2,2,2,0.970386,0,1,视频截图新京报快讯记者杨锋昨日 || 视频截图新京报快讯记者杨锋左日 || 视频截图新京报快讯记者杨峰昨日 || 视频截图星京报快讯记者杨锋昨日 || 视频截图新京报快讯记者杨芬昨日 || 视频截图新金报快讯记者杨芬昨日
70,70,covo_lost_base_hotword,杨锋,新京报快讯记者杨锋凌晨今日下午,新京报快讯记者杨锋凌晨今日下午,新京报快讯记者杨峰凌晨今日下午,True,True,True,2,2,2,0.937396,0,1,新京报快讯记者杨锋凌晨今日下午 || 新京报快讯记者杨锋临晨今日下午 || 新京报快讯记者杨锋 凌晨金日下午 || 新京爆快讯记者杨芬凌晨今日下午 || 新京爆快讯记者杨芬林晨今日下午 || 新京报快讯记者杨芬林晨今日下午
76,76,covo_lost_base_hotword,今久,今久整合营销集团就是如此,今久整合营销集团就是如此,金九整合营销集团就是如此,True,True,True,2,2,2,0.996128,0,2,今久整合营销集团就是如此 || 今久整合营销集团 || 今久整合营销集团是如此 || 金九整合营销集团就是如此 || 金酒整合营销集团就是如此 || 金九掌和营销集团就是如此
76,76,covo_lost_base_hotword,今久整合营销集团,今久整合营销集团就是如此,今久整合营销集团就是如此,金九整合营销集团就是如此,True,True,True,1,1,1,1.000000,0,2,今久整合营销集团就是如此 || 今久整合营销集团 || 今久整合营销集团是如此 || 金九整合营销集团就是如此 || 金酒整合营销集团就是如此 || 金九掌和营销集团就是如此
77,77,covo_lost_base_hotword,今久,今久必须担当起引领时代潮流的重任,今久必须担当起引领时代潮流的重任,今九必须担当起引领时代潮流的重任,True,True,True,1,1,1,0.997317,0,1,今久必须担当起引领时代潮流的重任 || 今久必須擔擔起引領時代潮流的重任 || 今久必須擔任起引領時代潮流的重任 || 今久必須擔起引領時代潮流的重任 || 今久必須擔當其引領時代潮流的重任 || 今久必需擔當起引領時代潮流的重任
78,78,covo_lost_base_hotword,今久,蓝色光标以几亿人民币收购今久,藍色光標以幾億人民幣收購今久,蓝色光标以几亿人民币收购金九,True,True,True,1,1,1,0.993247,6,2,藍色光標以幾億人民幣收購今久 || 藍色光標以幾億人民幣收購金酒 || 蓝色光标已几亿人民币收购金九 || 藍色光標以幾億人民幣收購金九 || 藍色光標以幾億聯名幣收購金酒 || 藍色光標以幾億人民幣收購金韭
79,79,covo_lost_base_hotword,今久,这成为今久转型的起点,这成为今久转型的起点,这成为金九转型的起点,True,True,True,1,1,1,0.970688,0,2,这成为今久转型的起点 || 这成为今久转形的起点 || 这成为金九转型的起点 || 这成为金酒转型的起点 || 这成为金九转形的起点 || 这常为金九转型的起点
81,81,covo_lost_base_hotword,今久,今久正是在蓝色光标的技术支持下,今久正是在蓝色光标的技术支持下,金九正是在蓝色光标的技术支持下,True,True,True,1,1,1,0.999044,0,2,今久正是在蓝色光标的技术支持下 || 今久正是在藍色光彪的技術支持下 || 今久正是在藍色光錶的技術支持下 || 金九正是在蓝色光标的技术支持下 || 金酒正是在蓝色光标的技术支持下 || 金9正是在蓝色光标的技术支持下
86,86,covo_lost_base_hotword,今久,今久又一次利用资本市场,今久又一次利用私本市场,金九又一次利用资本市场,True,True,True,1,1,1,0.999240,1,2,今久又一次利用私本市场 || 今久又一次利用资本市场 || 金九又一次利用私本市场 || 金酒又一次利用私本市场 || 金九又一次利用资本市场 || 金久又一次利用私本市场
88,88,covo_lost_base_hotword,今久,后今久时代正式到来,后今久时代正式到来,后金九时代正式到来,True,True,True,1,1,1,0.994660,0,2,后今久时代正式到来 || 厚今久时代正式到来 || 后今久时代正史到来 || 后金九时代正式到来 || 后今九时代正式到来 || 后金九时代正史到来
110,110,candidate_generation_missing,韩籍,许茹芸与韩籍男朋友举行了婚礼,许茹芸与韩姬男朋友举行了婚礼。,许茹芸与韩基男朋友举行了婚礼,False,False,False,7,,7,0.759294,1,1,许茹芸与韩姬男朋友举行了婚礼。 || 许茹芸与韩基男朋友举行了婚礼。 || 许绍洋 与韩姬男朋友举行了婚礼。 || 许如云与韩姬男朋友举行了婚礼。 || 许如云与韩基男朋友举行了婚礼。 || 许卢云与韩姬男朋友举行了婚礼。
122,122,covo_lost_base_hotword,黄琦雯,李玉刚张学友黄琦雯入选一零大最涨姿势歌曲,李玉刚、张学友、黄琦雯、陆选、伊玲、大、岁长、私史歌曲,李玉刚张学友黄绮雯入选十大岁长私史歌曲,True,True,True,1,1,1,0.993943,7,7,李玉刚、张学友、黄琦雯、陆选、伊玲、大、岁长、私史歌曲 || 李玉刚、张学友、黄琦雯录选伊玲《大岁长思史歌曲》 || 李玉刚 张学友 黄琦雯 陆选10大岁长私史歌曲 || 李玉刚、张学友、黄琦雯录选伊玲《大岁长私事歌曲》 || 李玉刚 张学友 黄琦雯 陆选10大岁长私事歌曲 || 李玉刚、张学友、黄琦雯入选伊玲《大岁长思史歌曲》
126,126,covo_lost_base_hotword,今久,今久从最初的几十个人,今久从最初的几十个人,金九从最初的几十个人,True,True,True,1,1,1,0.999586,0,2,今久从最初的几十个人 || 今久从最出的几十个人 || 今久重最初的几十个人。 || 今久从最初的几十个人⋯⋯ || 今久 今久从最初的几十个人 || 金九从最初的几十个人
127,127,covo_lost_base_hotword,今久,今久商品房销售额首次上涨,今久商品房销售额首次上涨,金九商品房销售额首次上涨,True,True,True,1,1,1,0.993214,0,2,今久商品房销售额首次上涨 || 今久商品坊销售额首次上涨 || 今久商品房销售项目首次上涨 || 今久商品房消售額首次上涨 || 金酒商品房销售额首次上涨 || 金九商品房销售额首次上涨
133,133,covo_lost_base_hotword,成飞,上述成飞集成人士表示,上述成飞机成人是表示,上述乘飞机乘人士表示,True,True,True,1,1,1,0.983821,2,3,上述成飞机成人是表示 || 上述成飞机成人式表示 || 上述乘飞机乘人是表示 || 上述乘飞机乘人士表示 || 上述乘飞机乘人式表示 || 上述乘飞机乘人示表示
158,158,covo_lost_base_hotword,权义,权义澎湃资料李银河在现实中是柔软的,权义 澎湃 资料 李银河 在现实中是柔软的,权益澎湃资料零和在现实中是柔软的,True,True,True,1,1,1,0.999417,0,4,权义 澎湃 资料 李银河 在现实中是柔软的 || 权义 彭派 资料 李银河 在现实中是柔软的 || 权义 彭佩 资料 李银河 在现实中是柔软的 || 权义 蓬派 资料 李银河 在现实中是柔软的 || 全义 澎湃 资料 李银河 在现实中是柔软的 || 权益澎湃资料零和在现实中是柔软的
158,158,covo_lost_base_hotword,李银河,权义澎湃资料李银河在现实中是柔软的,权义 澎湃 资料 李银河 在现实中是柔软的,权益澎湃资料零和在现实中是柔软的,True,True,True,2,2,2,0.998819,0,4,权义 澎湃 资料 李银河 在现实中是柔软的 || 权义 彭派 资料 李银河 在现实中是柔软的 || 权义 彭佩 资料 李银河 在现实中是柔软的 || 权义 蓬派 资料 李银河 在现实中是柔软的 || 全义 澎湃 资料 李银河 在现实中是柔软的 || 权益澎湃资料零和在现实中是柔软的
166,166,candidate_generation_missing,丰台区域潘家村,丰台区域潘家村危改三号地成为今年的收官地质块,豐台区域潘家村微改3号地成为今年的收官地址块,丰台区域潘家园微改三号地成为今年的收官地之一,False,False,False,1,1,1,0.999999,4,4,豐台区域潘家村微改3号地成为今年的收官地址块 || 豐台区域潘家村微改三号地成为今年的收官地之一 || 豐台区域潘家村微改3号地成为今年的收官地址块儿 || 豐台区域潘家村微改3号地成为今年的收官地区 || 豐台区域潘家村微改三号地成为今年的收官地之一块 || 豐台区域潘家村微改三号地成为今年的收官地之块
184,184,covo_lost_base_hotword,德郭队,近日德郭队公布了参加此次世锦赛的六六人大名单,近日德郭队公布了参加此次世锦赛的66人大名单,近日德国队公布了参加此次世锦赛的六十六人大名单,True,True,True,1,1,1,0.995810,2,2,近日德郭队公布了参加此次世锦赛的66人大名单 || 近日德郭队公布了参加此次市警赛的66人大名单 || 近日德郭队公布了参加此次市井赛的66人大名单 || 近日德郭队公布了参加此次世锦赛66人大名单 || 近日德郭队公布了参加此次市竞赛的66人大名单 || 近日德国队公布了参加此次世锦赛的66人大名单
187,187,covo_lost_base_hotword,哈特灵,哈特灵今年饱受十字韧带伤势困扰,哈特灵今年饱受十字忍带伤势困扰,哈特林今年饱受十字韧带伤势困扰,True,True,True,1,1,1,0.999962,1,1,哈特灵今年饱受十字忍带伤势困扰 || 哈特灵今年饱受十字忍待伤势困扰 || 哈特灵今年饱受十字忍耐伤势困扰 || 哈特灵今年饱受十字忍受伤势困扰 || 哈特灵今年饱受十字忍败伤势困扰 || 哈特灵今年饱受食肆忍带伤势困扰
194,194,candidate_generation_missing,马特里亚斯,一百一十米栏马特里亚斯布赫雷尔,110米 兰玛特里斯 布赫雷尔,一百米 兰马特里斯布赫雷尔,False,False,False,1,1,1,0.996473,7,4,110米 兰玛特里斯 布赫雷尔 || 110米 莱玛特里斯 布赫雷尔 || 110米 兰马特里斯 布赫雷尔 || 110米 莱马特里斯 布赫雷尔 || 110米 蓝马特里斯 布赫雷尔 || 110米 蓝玛特里斯 布赫雷尔
202,202,candidate_generation_missing,欧帕拉迪尼,雅莱克斯欧帕拉迪尼门格,雅来克斯欧 帕拉蒂尼门格,雅莱克斯欧帕拉蒂尼门格,False,False,False,6,,6,0.725172,2,1,雅来克斯欧 帕拉蒂尼门格 || 亚莱克斯欧 帕拉蒂尼门格 || 亚莱克斯欧帕拉帝尼门格 || 雅来克斯欧 帕拉蒂尼蒙格 || 雅莱克斯欧 帕拉蒂尼门格 || 雅莱克斯欧帕拉帝尼门格
230,230,covo_lost_base_hotword,欣塔斯卡鲁塞,三千米障碍吉萨费里欣塔斯卡鲁塞,三千米障碍吉萨费里欣塔斯卡鲁塞,三千米障碍吉萨费里辛塔斯卡鲁塞,True,True,True,1,1,1,0.996723,0,1,三千米障碍吉萨费里欣塔斯卡鲁塞 || 三千米障碍吉萨费里辛塔斯卡鲁塞 || 三千米障碍吉萨费里新塔斯卡鲁塞 || 三千米障碍吉萨菲里辛塔斯卡鲁塞 || 三千米障碍吉萨菲利辛塔斯卡鲁塞 || 三千米障碍基萨费里辛塔斯卡鲁塞
256,256,candidate_generation_missing,韦集村,灵璧县韦集镇韦集村原村支书石某,灵碧县 韦集镇 卫集村 圆村之书 石某,灵璧县韦集镇魏集村原村支书石某,False,False,False,2,2,2,0.890135,4,1,灵碧县 韦集镇 卫集村 圆村之书 石某 || 灵碧县 韦集镇 卫集村 园村之书石某 || 灵碧县 韦集镇 卫集村 原村之书石某 || 灵碧县 韦集镇 纬集村 原村之书石某 || 灵碧县 韦集镇 卫集村 原村之书十某 || 凌碧县 韦集镇 卫集村 园村之书 石某
258,258,candidate_generation_missing,济南,也在厦门拿下几宗商住用地和济南几宗居住用地,也在厦门拿下几宗商住地,也在厦门拿下几宗商住地和几南几宗居住用地,False,False,False,2,,2,0.225951,10,2,也在厦门拿下几座商住地和几南几宗居住用地。 || 也在厦门拿下几尊商住地和几南几宗居住用地。 || 也在厦门拿下几尊商住地和几难几宗居住用地。 || 也在厦门拿下几宗商住地和几南几棕居住用地。 || 也在厦门拿下几宗商住地和几南几中居住用地。 || 也在厦门拿下几宗商住地和几南几族居住用地。
261,261,candidate_generation_missing,吴雯,有着较为丰富志愿服务经历的九零后吴雯的话,有着较为丰富志愿服务经历的90后吴文德画,有着较为丰富志愿服务经历的九零后吴文德画,False,False,False,3,,3,0.084171,5,3,有着较为丰富志愿服务经历的90后吴文德画 || 有着较为丰富志愿服务经历的90后吴文德化 || 有着较为丰富志愿服务经历的90后吴文德华 || 有着较为丰富志愿服务精力的90后吴文德华 || 有着较为丰富志愿服务经历的90后无闻的话 || 有着较为丰富志愿服务精力的90后吴文德画
264,264,covo_failed_with_nbest6,佟健,佟健已经完成了第一个学模块的学习,东建已经完成了第一个磨块的学习,东建已经完成了第一个模块的学习,False,True,True,1,1,1,0.988435,4,3,东建已经完成了第一个磨块的学习 || 佟健已经完成了第一个磨块的学习。 || 佟健已经完成了第一个学模块的学习 || 东建已经完成了第一个学模块的学习 || 东建已经完成了第一个模块的学习 || 东建已经完成了第一个磨坏的学习
265,265,candidate_generation_missing,佟健,早到了退役年龄的庞清和佟健克服了伤病困难,早到了退役年龄的庞清和董建克服了伤病困难,早到了退役年龄的庞清和董健克服了伤病困难,False,False,False,3,,3,0.540091,2,1,早到了退役年龄的庞清和董建克服了伤病困难 || 早到了退役年龄的庞清和董健克服了伤病困难 || 早到了退役年龄的庞清和董剑克服了伤病困难 || 早到了退役年龄的庞清和董渐克服了伤病困难 || 找到了退役年龄的庞清和董建克服了伤病困难 || 找到了退役年龄的庞清和董健克服了伤病困难
268,268,kws_context_missing,佟健,庞清和佟健仍肩负着扛起中国双人滑大旗的重任,庞清董建仍肩负着扛起中国双人华大旗的重任,庞清董健仍肩负着扛起中国双人滑大旗的重任,False,False,False,,,,,4,2,庞清董建仍肩负着扛起中国双人华大旗的重任 || 庞清董建仍肩负着扛起中国双人划大旗的重任 || 庞清董健仍肩负着扛起中国双人华大旗的重任 || 庞清董建仍肩负着扛起中国双人滑大旗的重任 || 庞清懂剑仍肩负着扛起中国双人华大旗的重任 || 庞清懂剑仍肩负着扛起中国双人划大旗的重任
269,269,candidate_generation_missing,佟健,庞清和佟健终于可以放心地考虑退役的事情了,庞清和董建终于可以放心地考虑退役的事情了。,庞清和董健终于可以放心地考虑退役的事情了,False,False,False,4,,4,0.584090,2,1,庞清和董建终于可以放心地考虑退役的事情了。 || 庞清和董健终于可以放心地考虑退役的事情了。 || 庞清和董建终于可以放心的考虑退役的事情了。 || 庞清和董健终于可以放心的考虑退役的事情了。 || 旁青和董建终于可以放心地考虑退役的事情了。 || 旁青和董健终于可以放心地考虑退役的事情了。
273,273,candidate_generation_missing,佟健,佟健给自己定下了要做就做到最好,董健给自己定下了要做就做到最好,董健给自己定下了要做就做到最好,False,False,False,1,1,1,0.981855,1,1,董健给自己定下了要做就做到最好 || 董建给自己定下了要做就做到最好 || 懂见给自己定下了要做就做到最好 || 董健给自己订下了要做就做到最好 || 冬剑给自己定下了要做就做到最好 || 懂健给自己定下了要做就做到最好
274,274,candidate_generation_missing,佟健,佟健的解决办法就只能努力提高自己,懂见的解决办法就只能努力提高自己,董健的解决办法就只能努力提高自己,False,False,False,1,1,1,0.791659,2,1,懂见的解决办法就只能努力提高自己 || 懂剑的解决办法就只能努力提高自己 || 懂健的解决办法就只能努力提高自己 || 董健的解决办法就只能努力提高自己 || 懂贱的解决办法就只能努力提高自己 || 懂渐的解决办法就只能努力提高自己
278,278,candidate_generation_missing,佟健,佟健是同班同学里唯一运动员出身的,董健是同班同学里唯一运动员出身的,董健是同班同学里唯一运动员出身的,False,False,False,1,1,1,0.894951,1,1,董健是同班同学里唯一运动员出身的 || 董健是同班同学里唯一运动员出身 || 董建是同班同学里唯一运动员出身的 || 董健是同班同学里唯一运动员出生的 || 董建是同班同学里唯一运动员出生的 || 懂健是同班同学里唯一运动员出身的
280,280,covo_failed_with_nbest6,佟健,佟健希望自己能真的学到管理知识,董健希望自己能真的学到管理知识,董健希望自己能真的学到管理知识,False,True,True,1,1,1,0.854078,1,1,董健希望自己能真的学到管理知识 || 董健希望自己能真的学到管理知识：佟健 || 董建希望自己能真的学到管理知识 || 懂见希望自己能真的学到管理知识 || 董健希望自己能真得学到管理知识 || 董健希望自己能真地学到管理知识
282,282,covo_lost_base_hotword,赛文耷子,搜狐娱乐赛文耷子备受关注重拍版乌鸦,搜狐娱乐赛文耷子备受关注重拍版乌鸦,搜狐娱乐讯文耷子备受关注重拍版乌鸦,True,True,True,1,1,1,0.980162,0,1,搜狐娱乐赛文耷子备受关注重拍版乌鸦 || 搜狐娱乐赛文耷子备受关注重拍板乌鸦 || 搜湖娱乐赛文耷子备受关注重拍版乌鸦 || 搜狐娱乐赛文耷子倍受关注重拍版乌鸦 || 搜狐娱乐赛文耷子背受关注重拍版乌鸦 || 搜狐娱乐赛文耷子备受关注重拍本乌鸦
290,290,candidate_generation_missing,邓泽惠,华商报讯记者张林实习生邓泽惠一夜之间,华商报讯 记者张林实习生 邓泽会一夜之间,华商报讯记者张林实习生邓泽会一夜之间,False,False,False,6,,6,0.883318,1,1,华商报讯 记者张林实习生 邓泽会一夜之间 || 华商报讯 记者张林实习生邓则 邓泽会一夜之间 || 华商报讯 记者张玲实习生邓泽会一夜之间 || 华商报讯 记者张玲实习生邓则会一夜之间 || 华商报讯 记者张琳实习生 邓泽会一夜之间 || 华商报讯 记者张麟实习生 邓泽会一夜之间
